course_unit_code,course_degree_code,course_unit_name,course_unit_academic_year,degree_course,degree_course_track,number_of_ects_credits_allocated,type_of_assessment,course_unit_english_denomination,department_of_reference,mandatory_attendance,language_of_instruction,branch,single_course_unit,optional_course_unit,course_unit_for_erasmus_students,course_unit_lecturer,course_unit_organization_period,course_unit_organization_year,course_unit_organization_teaching_method,course_unit_organization_type_of_hours,course_unit_organization_credits,course_unit_organization_teachinghours,course_unit_organization_hours_ofindividual_study,course_unit_organization_shifts,start_of_activities,end_of_activities,course_unit_url,prerequisites,target_skills_and_knowledge,examination_methods,assessment_criteria,course_unit_contents,planned_learning_activities_and_teaching_methods,additional_notes_about_suggested_reading,textbooks_(and_optional_supplementary_readings),notes
SCP7081703,SC2490,ASTROPARTICLE PHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,ASTROPARTICLE PHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ANTONIO MASIERO,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081703/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCN1035987,SC2490,ASTROPHYSICS OF GALAXIES,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25","OBSERVATIONS, EXPERIMENTS AND INTERPRETATION [002PD]",6.0,Mark,ASTROPHYSICS OF GALAXIES,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ALESSANDRO PIZZELLA,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/002PD/SCN1035987/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCN1035988,SC2490,CELESTIAL MECHANICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,CELESTIAL MECHANICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,STEFANO CASOTTO,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCN1035988/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086385,SC2490,GALACTIC DYNAMICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,GALACTIC DYNAMICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ENRICO MARIA CORSINI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP9086385/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081719,SC2490,GRAVITATIONAL PHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,GRAVITATIONAL PHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,GIACOMO CIANI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081719/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081762,SC2490,MULTIMESSENGER ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,MULTIMESSENGER ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ELISA BERNARDINI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081762/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081704,SC2490,NUCLEAR ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,NUCLEAR ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ANTONIO CACIOLLI and DENISE PIATTI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081704/N0,"Elements of quantum mechanics, nuclear physics, and general physics",The course aims to provide theoretical and experimental preparation on the key concepts of nuclear astrophysics.Students will acquire the skills to illustrate how stellar and big bang nucleosynthesis worksFrom an experimental point of view they will be able to correctly interpret the experimental choices made in the various setups active in laboratories around the worldThey will be able to compare different experimental choices and creatively develop their own choicesThey will acquire practical concepts of data analysis and the ability to evaluate its impact on stellar evolution networks,A 10 minutes presentation on an aspect of the course (usually an astrophysical issue and a related reaction study) and some question related to the presentation and course program.,Assessment of understanding and mastery of the topics.,"Thermonuclear reactions.Definition of nuclear cross section, astrophysical S-factor, reaction rate, and Gamow peak.Nuclear burnings during hydrostatic and explosive stellar evolutionary phases.Elements of stellar modelling.Hydrogen burning: p-p chains, CNO, NeNa, MgAl cycles.Helium burning: triple-alpha reaction and  alpha + 12C. Advanced nuclear  burnings (C, Ne, O, Si).Neutron-capture reactions (s and r: slow and rapid)For each topic we provide an overview of the most relevant results in the recent literature. How to determine the reaction rate for several cases (direct capture, narrow resonances, broad resonances)How to perform a nuclear astrophysics experiment (every topic will be discussed with of existing experimental facilities and their most recent results)The environmental background and how to shield it (passive and active shielding)         Underground experimentBrief discussion on ion beam acceleratorsElements on detectors (gamma, neutrons, and charged particles)Experimental measurements of the cross section (from the experimental yield to the S-factor)Targets typology (gas, jet, and solid target). Target production techniques and how targets influence  the experimental measurements.Brief discussion on indirect methods (Trojan Horse, ANC, …).","All classroom lessons are scheduled. During the lessons, moments of frontal lessons will be interspersed with moments of reflection with tasks to be carried out in groups and subsequent discussion of the contents addressed by each individual working group.",Slides and other material available in electronic format to the students.Papers on journals discussed during the course,"C. E Rolfs e W. S. Rodney, Couldrons in the Cosmos. --: The University Chicago Press, 1988.        


        Iliadis C., Nuclear Physics of Stars. --: WILEY-VCH Verlag GmbH & Co.KgaA, 2007.",Not mentioned.
SCP9086346,SC2490,OBSERVATIONAL COSMOLOGY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25","OBSERVATIONS, EXPERIMENTS AND INTERPRETATION [002PD]",6.0,Mark,OBSERVATIONAL COSMOLOGY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,GIULIA RODIGHIERO and PAOLO CASSATA,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/002PD/SCP9086346/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081805,SC2490,PLANETARY ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,PLANETARY ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,FRANCESCO MARZARI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081805/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086347,SC2490,RADIATIVE PROCESSES IN ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",THEORY AND MODELLING [001PD],6.0,Mark,RADIATIVE PROCESSES IN ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ROBERTO TUROLLA,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/001PD/SCP9086347/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCQ0093379,SC2490,SELECTED TOPICS IN MODERN ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,SELECTED TOPICS IN MODERN ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,Not mentioned.,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCQ0093379/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086345,SC2490,STELLAR ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25","OBSERVATIONS, EXPERIMENTS AND INTERPRETATION [002PD]",6.0,Mark,STELLAR ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ANTONINO MILONE,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/002PD/SCP9086345/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081697,SC2490,SUBNUCLEAR PHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,SUBNUCLEAR PHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,DONATELLA LUCCHESI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP7081697/N0,"Principles of nuclear and sub-nuclear physics, principles of quantum mechanics, relativistic dynamics, quantum field theory, Feynman graphs, interaction radiation with matter.","Experimental methodologies for the study of sub-nuclear physics. Phenomenology of fundamental interactions: electromagnetic, strong and weak including the Higgs field. Phenomenology of some models beyond the standard model that describe neutrino physics. Main experimental tests of the models presented.","The exam will be based on an assignment given to the students in advance. It will consist of exercises or open questions on topics among those discussed during the lessons. Oral exam will consist of a short presentation of a topic (phenomenology and experimental part) regarding the course program and discussion of the assignment. During the discussion, questions may be asked about the topics covered during the lessons.","The exercises will be evaluated on the basis of correctness and simplicity in the execution. The discussion and the answers will be evaluated considering the correctness, conciseness and the clarity of exposition.","Introduction and summary of pre-requisite topicsDetectors for particle physics experimentsElectromagnetic interactions, cross section e + e + -> mu + mu- and e + e + -> hhDeep inelastic scattering, parton distribution functions, existence of the gluon.QCD, partons and jets and experimental verificationsWeak interaction and experimental testsElectroweak interaction and experimental testsProperties of the Higgs bosonCabibbo-Kobayashi-Maskawa matrix and experimental testsViolation of CP and T in heavy quarks.Neutrino physics and experimental tests","Lectures by using an table computer, usage of animations and small movies. Possibility of seminars by experts.",Lectures will be available on moodle.,"Peskin, Concepts of elementary particle physics. --: Oxford, --.        


        Martin and Halzen, Quarks and leptons. --: John Wiley and son, --.        
 

        W. R. Leo, Techniques for Nuclear and Particle Physics Experiments. --: Springer-Verlag, --.",Not mentioned.
SCP9086384,SC2490,THEORETICAL COSMOLOGY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",THEORY AND MODELLING [001PD],6.0,Mark,THEORETICAL COSMOLOGY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,SABINO MATARRESE,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/001PD/SCP9086384/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP7081638,SC2490,THEORETICAL PHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",THEORY AND MODELLING [001PD],6.0,Mark,THEORETICAL PHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,FABIO APRUZZI,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/001PD/SCP7081638/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
